,trimester_date,bank_name,table_name,short_descripction,T_0_feature_value,T_1_feature_value,T_2_feature_value,T_3_feature_value,T_4_feature_value
0,2021T2,BBVA,Balance General Activo,"Grupo Financiero BBVA Bancomer, S.A. de C.V.",Jun,Mar,Dic,Sep,Jun
1,2021T2,BBVA,Balance General Activo,Millones de pesos,2021,2021,2020,2020,2020
2,2021T2,BBVA,Balance General Activo,1017143,,1132151,1116008,1084227,1047863
3,2021T2,BBVA,Balance General Activo,CAPTACION TRADICIONAL,"1,447,716","1,444,230","1,410,989","1,413,428","1,384,394"
4,2021T2,BBVA,Balance General Activo,Depósitos de exigibilidad inmediata,"1,131,180","1,115,493","1,083,733","1,047,248","1,016,021"
5,2021T2,BBVA,Balance General Activo,Depósitos a plazo,"223,515","238,406","238,248","272,245","273,665"
6,2021T2,BBVA,Balance General Activo,Del Público en General,"217,871","232,356","224,386","251,619","245,544"
7,2021T2,BBVA,Balance General Activo,Mercado de Dinero,"5,644","6,050","13,862","20,626","28,121"
8,2021T2,BBVA,Balance General Activo,Titulos de crédito emitidos,"87,743","85,296","84,052","89,006","89,927"
9,2021T2,BBVA,Balance General Activo,Cuenta Global de Captación sin Movimientos,"5,278","5,035","4,956","4,929","4,781"
10,2021T2,BBVA,Balance General Activo,PRESTAMOS INTERBANCARIOS Y DE OTROS ORGANISMOS,"30,456","30,885","17,860","19,374","20,358"
11,2021T2,BBVA,Balance General Activo,De corto plazo,"6,171","6,070","6,985","7,757","9,604"
12,2021T2,BBVA,Balance General Activo,De largo plazo,"24,285","24,815","10,875","11,617","10,754"
13,2021T2,BBVA,Balance General Activo,Reservas Técnicas,"260,167","250,399","238,550","234,163","226,827"
14,2021T2,BBVA,Balance General Activo,Acreedores por reporto,"300,078","247,129","255,331","240,870","215,118"
15,2021T2,BBVA,Balance General Activo,Prestamos de valores,1,3,5,1,2
16,2021T2,BBVA,Balance General Activo,COLATERALES VENDIDOS O DADOS EN GARANTIA,"53,068","64,426","63,841","49,932","55,877"
17,2021T2,BBVA,Balance General Activo,Reportos,"12,591","19,963",0,0,0
18,2021T2,BBVA,Balance General Activo,Préstamo de Valores,"40,477","44,463","63,841","49,932","55,877"
19,2021T2,BBVA,Balance General Activo,DERIVADOS,"152,846","162,609","223,841","244,304","302,932"
20,2021T2,BBVA,Balance General Activo,Con fines de Negociación,"146,775","155,273","210,971","229,061","285,789"
21,2021T2,BBVA,Balance General Activo,Con fines de Cobertura,"6,071","7,336","12,870","15,243","17,143"
22,2021T2,BBVA,Balance General Activo,Ajustes de valuación por cobertura de pasivos financieros,"4,742","4,796","7,915","9,659","10,770"
23,2021T2,BBVA,Balance General Activo,Cuentas por pagar a reaseguradores y reafianzadores (neto),"1,301","1,396",934,161,164
24,2021T2,BBVA,Balance General Activo,OTRAS CUENTAS POR PAGAR,"169,320","126,387","121,001","133,830","137,515"
25,2021T2,BBVA,Balance General Activo,Impuestos a la utilidad por pagar,"1,448",0,0,0,0
26,2021T2,BBVA,Balance General Activo,Participación de los Trabajadores en las Utilidades por pagar,195,75,285,22,20
27,2021T2,BBVA,Balance General Activo,Acreedores por liquidación de operaciones,"68,820","62,518","55,312","78,298","77,516"
28,2021T2,BBVA,Balance General Activo,Acreedores por cuentas de margen,348,348,"1,179",0,0
29,2021T2,BBVA,Balance General Activo,Acreedores por colaterales recibidos en efectivo,"15,975","21,444","19,762","24,937","26,875"
30,2021T2,BBVA,Balance General Activo,Acreedores diversos y otras cuentas por pagar,"82,534","42,002","44,463","30,573","33,104"
31,2021T2,BBVA,Balance General Activo,Obligaciones subordinadas en circulación,"69,943","70,869","85,181","93,446","98,793"
32,2021T2,BBVA,Balance General Activo,Créditos diferidos y cobros anticipados,"7,539","7,604","7,540","7,382","7,412"
33,2021T2,BBVA,Balance General Activo,TOTAL PASIVO,"2,497,177","2,410,733","2,432,988","2,446,550","2,460,162"
34,2021T2,BBVA,Balance General Activo,CAPITAL CONTRIBUIDO,"89,132","89,132","89,132","89,132","89,132"
35,2021T2,BBVA,Balance General Activo,Capital social,"9,799","9,799","9,799","9,799","9,799"
36,2021T2,BBVA,Balance General Activo,Prima en venta de acciones,"79,333","79,333","79,333","79,333","79,333"
37,2021T2,BBVA,Balance General Activo,CAPITAL GANADO,"193,428","188,490","182,393","173,613","159,129"
38,2021T2,BBVA,Balance General Activo,Reservas de capital,204,204,204,204,204
39,2021T2,BBVA,Balance General Activo,Resultado de ejercicios anteriores,"173,865","188,510","145,650","145,650","145,650"
40,2021T2,BBVA,Balance General Activo,Resultado por valuación de títulos disponibles para la venta ,"(3,552)","(2,122)","2,879",774,577
41,2021T2,BBVA,Balance General Activo,Resultado por valuación de instrumentos de cobertura de flujos de efectivo,(562),(430),(96),283,389
42,2021T2,BBVA,Balance General Activo,Efecto acumulado por conversión,0,440,440,440,440
43,2021T2,BBVA,Balance General Activo,Remediciones por Beneficios Definidos a los Empleados,"(2,422)","(9,199)","(9,544)","(7,799)","(7,940)"
44,2021T2,BBVA,Balance General Activo,Resultado neto,"25,895","11,087","42,860","34,061","19,809"
45,2021T2,BBVA,Balance General Activo,CAPITAL CONTABLE MAYORITARIO,"282,560","277,622","271,525","262,745","248,261"
46,2021T2,BBVA,Balance General Activo,Participación no controladora,44,39,39,40,39
47,2021T2,BBVA,Balance General Activo,TOTAL CAPITAL CONTABLE,"282,604","277,661","271,564","262,785","248,300"
48,2021T2,BBVA,Balance General Activo,TOTAL PASIVO Y CAPITAL CONTABLE,"2,779,781","2,688,394","2,704,552","2,709,335","2,708,462"
