trimester_date,bank_name,table_name,short_description,T_0_feature_value,T_1_feature_value,T_2_feature_value,T_3_feature_value,T_4_feature_value
2021T2,Santander,Estado de Resultados,Margen Financiero,15585,16272,16896,15585,16896
2021T2,Santander,Estado de Resultados,Estimación preventiva para riesgos crediticios,-7075,-3152,-5165,-7075,-5165
2021T2,Santander,Estado de Resultados,Margen financiero ajustado por riesgos crediticios,8510,13120,11731,8510,11731
2021T2,Santander,Estado de Resultados,Comisiones y tarifas pagadas,4902,4709,4697,4902,4697
2021T2,Santander,Estado de Resultados,Resultado por intermediación,1398,723,883,1398,883
2021T2,Santander,Estado de Resultados,Otros ingresos -egresos de la operación,-664,-379,-212,-664,-212
2021T2,Santander,Estado de Resultados,Gastos de administración y promoción,-9894,-11102,-9785,-9894,-9785
2021T2,Santander,Estado de Resultados,Resultado de la operación,4252,7071,7314,4252,7314
2021T2,Santander,Estado de Resultados,Participación en el resultado de subsidiarias no consolidadas y asociad,77,79,4,77,4
2021T2,Santander,Estado de Resultados,Resultado antes de impuestos a la utilidad,4329,7150,7318,4329,7318
2021T2,Santander,Estado de Resultados,Impuestos a la utilidad diferidos -netos,-1050,-1670,-1904,-1050,-1904
2021T2,Santander,Estado de Resultados,Utilidad neta mayoritaria,3279,5480,5414,3279,5414
2021T2,Santander,Estado de Resultados,Tasa efectiva de impuestos,24.26,23.36,26.02,24.26,26.02
